phrase_original,phrase_canonical,representative_phrase,df,tf,cleaned_score,canonical_score_proxy,doc_text,doc_index,topic_id,is_outlier_topic,topic_label,concept_id
반도체,반도체,반도체,22,97,6.8183,6.8183,반도체,0,9,False,반도체 | 실리콘 | 트랜지스터,BT0002
리튬,리튬,리튬,10,28,6.1946,6.1946,리튬,1,0,False,디지털 | 전해질 | 리튬,BT0001
반도체 장치,반도체 장치,반도체 장치,8,21,6.074,6.074,반도체 장치,2,9,False,반도체 | 실리콘 | 트랜지스터,BT0002
테스트,테스트,테스트,7,45,6.0056,6.0056,테스트,3,0,False,디지털 | 전해질 | 리튬,BT0001
디지털,디지털,디지털,6,24,5.782,5.782,디지털,4,0,False,디지털 | 전해질 | 리튬,BT0001
플라즈마,플라즈마,플라즈마,8,25,5.7254,5.7254,플라즈마,5,0,False,디지털 | 전해질 | 리튬,BT0001
촉매,촉매,촉매,10,29,5.656,5.656,촉매,6,0,False,디지털 | 전해질 | 리튬,BT0001
컴퓨터 프로그램,컴퓨터 프로그램,컴퓨터 프로그램,9,11,5.5913,5.5913,컴퓨터 프로그램,7,0,False,디지털 | 전해질 | 리튬,BT0001
이미지,이미지,이미지,21,88,5.4053,5.4053,이미지,8,10,False,이미지 | 센서 | 카메라,BT0004
메모리,메모리,메모리,17,47,5.3364,5.3364,메모리,9,0,False,디지털 | 전해질 | 리튬,BT0001
구조물,구조물,구조물,15,43,5.28,5.28,구조물,10,0,False,디지털 | 전해질 | 리튬,BT0001
양극,양극,양극,3,16,5.2257,5.2257,양극,11,0,False,디지털 | 전해질 | 리튬,BT0001
배터리,배터리,배터리,12,43,5.19,5.19,배터리,12,1,False,배터리 | 열처리 | 에너지,BT0003
RF 에너지,RF 에너지,RF 에너지,2,7,5.1541,5.1541,RF 에너지,13,1,False,배터리 | 열처리 | 에너지,BT0003
에너지,에너지,에너지,14,34,5.1123,5.1123,에너지,14,1,False,배터리 | 열처리 | 에너지,BT0003
서비스,서비스,서비스,12,23,5.1013,5.1013,서비스,15,0,False,디지털 | 전해질 | 리튬,BT0001
유전자,유전자,유전자,8,23,5.0946,5.0946,유전자,16,3,False,유전자 | 단백질,BT0007
조성물,조성물,조성물,45,110,5.0760000000000005,5.0760000000000005,조성물,17,0,False,디지털 | 전해질 | 리튬,BT0001
레이저,레이저,레이저,9,46,5.0618,5.0618,레이저,18,6,False,포토레지스트 | 레이저 | 방사선,BT0005
윤활유 조성물,윤활유 조성물,윤활유 조성물,2,4,5.0541,5.0541,윤활유 조성물,19,0,False,디지털 | 전해질 | 리튬,BT0001
접착제,접착제,접착제,6,16,5.0247,5.0247,접착제,20,0,False,디지털 | 전해질 | 리튬,BT0001
어셈블리,어셈블리,어셈블리,8,19,4.9694,4.9694,어셈블리,21,0,False,디지털 | 전해질 | 리튬,BT0001
카메라,카메라,카메라,14,33,4.9232,4.9232,카메라,22,10,False,이미지 | 센서 | 카메라,BT0004
억제제,억제제,억제제,6,14,4.8913,4.8913,억제제,23,0,False,디지털 | 전해질 | 리튬,BT0001
메탄올,메탄올,메탄올,2,20,4.8874,4.8874,메탄올,24,0,False,디지털 | 전해질 | 리튬,BT0001
방사선,방사선,방사선,8,21,4.8426,4.8426,방사선,25,6,False,포토레지스트 | 레이저 | 방사선,BT0005
음극,음극,음극,3,10,4.8257,4.8257,음극,26,0,False,디지털 | 전해질 | 리튬,BT0001
스마트,스마트,스마트,5,15,4.8116,4.8116,스마트,27,0,False,디지털 | 전해질 | 리튬,BT0001
사용자 단말,사용자 단말,사용자 단말,8,21,4.764,4.764,사용자 단말,28,0,False,디지털 | 전해질 | 리튬,BT0001
파이프,파이프,파이프,2,16,4.7541,4.7541,파이프,29,4,False,파이프 | 단섬유 | 케이블,BT0006
구조체,구조체,구조체,7,22,4.7538,4.7538,구조체,30,0,False,디지털 | 전해질 | 리튬,BT0001
프로세서,프로세서,프로세서,21,41,4.7405,4.7405,프로세서,31,0,False,디지털 | 전해질 | 리튬,BT0001
스트림,스트림,스트림,8,20,4.7174,4.7174,스트림,32,0,False,디지털 | 전해질 | 리튬,BT0001
알루미늄,알루미늄,알루미늄,9,19,4.7134,4.7134,알루미늄,33,0,False,디지털 | 전해질 | 리튬,BT0001
애플리케이션,애플리케이션,애플리케이션,5,16,4.7051,4.7051,애플리케이션,34,0,False,디지털 | 전해질 | 리튬,BT0001
모니터링,모니터링,모니터링,5,16,4.7051,4.7051,모니터링,35,0,False,디지털 | 전해질 | 리튬,BT0001
콘텐츠,콘텐츠,콘텐츠,11,34,4.7004,4.7004,콘텐츠,36,0,False,디지털 | 전해질 | 리튬,BT0001
인서트,인서트,인서트,6,22,4.686,4.686,인서트,37,0,False,디지털 | 전해질 | 리튬,BT0001
단백질,단백질,단백질,8,17,4.6507,4.6507,단백질,38,3,False,유전자 | 단백질,BT0007
실시간,실시간,실시간,5,15,4.6384,4.6384,실시간,39,0,False,디지털 | 전해질 | 리튬,BT0001
단섬유,단섬유,단섬유,2,14,4.6207,4.6207,단섬유,40,4,False,파이프 | 단섬유 | 케이블,BT0006
디스플레이,디스플레이,디스플레이,13,42,4.613,4.613,디스플레이,41,0,False,디지털 | 전해질 | 리튬,BT0001
실리콘,실리콘,실리콘,9,26,4.5978,4.5978,실리콘,42,9,False,반도체 | 실리콘 | 트랜지스터,BT0002
프로그램,프로그램,프로그램,16,20,4.5966000000000005,4.5966000000000005,프로그램,43,0,False,디지털 | 전해질 | 리튬,BT0001
산화물,산화물,산화물,8,35,4.5906,4.5906,산화물,44,0,False,디지털 | 전해질 | 리튬,BT0001
탄소,탄소,탄소,14,30,4.5879,4.5879,탄소,45,5,False,탄소,BT0009
텍스트,텍스트,텍스트,7,15,4.5538,4.5538,텍스트,46,0,False,디지털 | 전해질 | 리튬,BT0001
